customer_id,month,revenue
1,2025-06,118.18
2,2025-06,143.52
3,2025-06,108.16
4,2025-06,144.74
5,2025-06,132.36
6,2025-06,75.17
7,2025-06,142.6
8,2025-06,171.07
9,2025-06,152.96
10,2025-06,121.55
11,2025-06,132.09
12,2025-06,83.75
13,2025-06,79.5
14,2025-06,167.98
15,2025-06,104.62
16,2025-06,148.03
17,2025-06,101.61
18,2025-06,82.86
19,2025-06,76.19
20,2025-06,73.27
21,2025-06,91.51
22,2025-06,160.47
23,2025-06,72.31
24,2025-06,153.95
25,2025-06,104.8
26,2025-06,91.46
27,2025-06,169.01
28,2025-06,167.74
29,2025-06,114.95
30,2025-06,81.81
31,2025-06,147.65
32,2025-06,76.78
33,2025-06,108.21
34,2025-06,117.19
35,2025-06,73.86
36,2025-06,159.72
37,2025-06,165.02
38,2025-06,132.24
39,2025-06,90.37
40,2025-06,158.99
41,2025-06,139.63
42,2025-06,128.25
43,2025-06,168.04
44,2025-06,101.49
45,2025-06,86.12
46,2025-06,73.19
47,2025-06,129.3
48,2025-06,132.92
49,2025-06,146.09
50,2025-06,82.58
51,2025-06,80.57
52,2025-06,153.43
53,2025-06,87.02
54,2025-06,62.89
55,2025-06,149.98
56,2025-06,120.28
57,2025-06,115.4
58,2025-06,80.93
59,2025-06,140.09
60,2025-06,103.68
61,2025-06,69.42
62,2025-06,100.82
63,2025-06,68.11
64,2025-06,64.66
65,2025-06,91.33
66,2025-06,163.59
67,2025-06,87.31
68,2025-06,78.6
69,2025-06,161.58
70,2025-06,172.64
71,2025-06,89.57
72,2025-06,125.31
73,2025-06,82.57
74,2025-06,65.5
75,2025-06,122.64
76,2025-06,78.23
77,2025-06,108.71
78,2025-06,155.89
79,2025-06,139.42
80,2025-06,152.55
81,2025-06,165.14
82,2025-06,68.19
83,2025-06,112.89
84,2025-06,76.09
85,2025-06,169.07
86,2025-06,117.36
87,2025-06,127.53
88,2025-06,153.48
89,2025-06,87.26
90,2025-06,86.6
91,2025-06,99.62
92,2025-06,84.66
93,2025-06,96.15
94,2025-06,80.14
95,2025-06,92.58
96,2025-06,88.36
97,2025-06,137.46
98,2025-06,63.14
99,2025-06,109.65
100,2025-06,124.1
101,2025-06,150.85
102,2025-06,153.48
103,2025-06,79.41
104,2025-06,101.27
105,2025-06,115.98
106,2025-06,141.9
107,2025-06,121.76
108,2025-06,137.87
109,2025-06,127.4
110,2025-06,168.22
111,2025-06,140.17
112,2025-06,140.72
113,2025-06,65.04
114,2025-06,145.91
115,2025-06,110.87
116,2025-06,90.5
117,2025-06,110.95
118,2025-06,73.27
119,2025-06,71.5
120,2025-06,93.22
121,2025-06,115.09
122,2025-06,147.18
123,2025-06,143.88
124,2025-06,72.28
125,2025-06,62.65
126,2025-06,105.53
127,2025-06,60.86
128,2025-06,103.79
129,2025-06,167.57
130,2025-06,166.66
131,2025-06,60.19
132,2025-06,153.29
133,2025-06,162.69
134,2025-06,115.08
135,2025-06,60.97
136,2025-06,77.65
137,2025-06,116.68
138,2025-06,146.58
139,2025-06,117.82
140,2025-06,159.63
141,2025-06,99.18
142,2025-06,123.08
143,2025-06,83.74
144,2025-06,129.64
145,2025-06,99.43
146,2025-06,133.23
147,2025-06,92.22
148,2025-06,70.99
149,2025-06,121.77
150,2025-06,168.17
151,2025-06,85.06
152,2025-06,113.33
153,2025-06,134.07
154,2025-06,129.82
155,2025-06,91.56
156,2025-06,141.75
157,2025-06,168.21
158,2025-06,174.19
159,2025-06,83.73
160,2025-06,136.38
161,2025-06,117.06
162,2025-06,136.65
163,2025-06,99.22
164,2025-06,151.94
165,2025-06,133.53
166,2025-06,122.41
167,2025-06,119.45
168,2025-06,78.12
169,2025-06,142.71
170,2025-06,116.32
171,2025-06,79.72
172,2025-06,167.92
173,2025-06,151.77
174,2025-06,117.01
175,2025-06,87.12
176,2025-06,127.42
177,2025-06,97.27
178,2025-06,128.98
179,2025-06,95.34
180,2025-06,133.22
181,2025-06,94.8
182,2025-06,140.41
183,2025-06,119.23
184,2025-06,106.38
185,2025-06,94.91
186,2025-06,110.73
187,2025-06,172.4
188,2025-06,145.65
189,2025-06,112.32
190,2025-06,76.72
191,2025-06,112.66
192,2025-06,63.34
193,2025-06,112.56
194,2025-06,97.41
195,2025-06,74.43
196,2025-06,177.07
197,2025-06,166.59
198,2025-06,156.98
199,2025-06,114.87
200,2025-06,115.74
201,2025-06,127.22
202,2025-06,132.61
203,2025-06,76.53
204,2025-06,87.57
205,2025-06,150.84
206,2025-06,68.02
207,2025-06,143.76
208,2025-06,146.4
209,2025-06,126.85
210,2025-06,90.1
211,2025-06,94.38
212,2025-06,164.77
213,2025-06,84.03
214,2025-06,132.01
215,2025-06,172.71
216,2025-06,112.31
217,2025-06,107.14
218,2025-06,63.66
219,2025-06,156.44
220,2025-06,79.42
221,2025-06,73.4
222,2025-06,125.3
223,2025-06,138.07
224,2025-06,74.16
225,2025-06,92.78
226,2025-06,77.91
227,2025-06,165.08
228,2025-06,177.23
229,2025-06,172.7
230,2025-06,171.27
231,2025-06,164.55
232,2025-06,171.71
233,2025-06,99.36
234,2025-06,83.36
235,2025-06,170.46
236,2025-06,139.85
237,2025-06,110.16
238,2025-06,171.75
239,2025-06,170.91
240,2025-06,161.0
241,2025-06,113.55
242,2025-06,73.5
243,2025-06,144.07
244,2025-06,80.2
245,2025-06,67.7
246,2025-06,155.07
247,2025-06,129.15
248,2025-06,113.01
249,2025-06,132.4
250,2025-06,77.14
251,2025-06,116.61
252,2025-06,150.3
253,2025-06,159.46
254,2025-06,111.92
255,2025-06,99.35
256,2025-06,177.96
257,2025-06,173.47
258,2025-06,148.05
259,2025-06,64.82
260,2025-06,86.91
261,2025-06,136.42
262,2025-06,82.88
263,2025-06,67.3
264,2025-06,132.77
265,2025-06,144.27
266,2025-06,102.86
267,2025-06,149.33
268,2025-06,143.7
269,2025-06,64.85
